date,day_of_week,covers,weather,notes
2024-07-17,Wednesday,102,clear,
2024-07-18,Thursday,113,clear,
2024-07-19,Friday,117,rain,
2024-07-20,Saturday,171,rain,
2024-07-21,Sunday,128,cloudy,
2024-07-22,Monday,60,hot,
2024-07-23,Tuesday,73,clear,
2024-07-24,Wednesday,91,cloudy,
2024-07-25,Thursday,113,cloudy,
2024-07-26,Friday,146,hot,
2024-07-27,Saturday,195,clear,
2024-07-28,Sunday,141,cloudy,
2024-07-29,Monday,73,clear,
2024-07-30,Tuesday,83,clear,
2024-07-31,Wednesday,85,cloudy,
2024-08-01,Thursday,73,snow,
2024-08-02,Friday,163,cloudy,
2024-08-03,Saturday,186,cloudy,
2024-08-04,Sunday,133,hot,
2024-08-05,Monday,65,clear,
2024-08-06,Tuesday,72,cloudy,
2024-08-07,Wednesday,90,hot,
2024-08-08,Thursday,116,hot,
2024-08-09,Friday,100,snow,
2024-08-10,Saturday,183,hot,
2024-08-11,Sunday,137,clear,
2024-08-12,Monday,63,hot,
2024-08-13,Tuesday,52,snow,
2024-08-14,Wednesday,112,clear,
2024-08-15,Thursday,108,clear,
2024-08-16,Friday,169,cloudy,
2024-08-17,Saturday,181,clear,
2024-08-18,Sunday,138,cloudy,
2024-08-19,Monday,50,snow,
2024-08-20,Tuesday,80,clear,
2024-08-21,Wednesday,94,cloudy,
2024-08-22,Thursday,100,cloudy,
2024-08-23,Friday,139,clear,
2024-08-24,Saturday,155,clear,
2024-08-25,Sunday,138,clear,
2024-08-26,Monday,41,snow,
2024-08-27,Tuesday,68,rain,
2024-08-28,Wednesday,94,clear,
2024-08-29,Thursday,102,cloudy,
2024-08-30,Friday,143,cloudy,
2024-08-31,Saturday,160,cloudy,
2024-09-01,Sunday,104,rain,
2024-09-02,Monday,71,clear,
2024-09-03,Tuesday,90,cloudy,
2024-09-04,Wednesday,91,rain,
2024-09-05,Thursday,111,hot,
2024-09-06,Friday,158,cloudy,
2024-09-07,Saturday,122,snow,
2024-09-08,Sunday,141,clear,
2024-09-09,Monday,74,clear,
2024-09-10,Tuesday,82,cloudy,
2024-09-11,Wednesday,95,hot,
2024-09-12,Thursday,61,snow,
2024-09-13,Friday,177,clear,
2024-09-14,Saturday,182,hot,
2024-09-15,Sunday,129,cloudy,
2024-09-16,Monday,72,cloudy,
2024-09-17,Tuesday,89,clear,
2024-09-18,Wednesday,69,snow,
2024-09-19,Thursday,114,hot,
2024-09-20,Friday,198,cloudy,
2024-09-21,Saturday,222,clear,
2024-09-22,Sunday,149,clear,
2024-09-23,Monday,64,cloudy,
2024-09-24,Tuesday,83,clear,
2024-09-25,Wednesday,105,clear,
2024-09-26,Thursday,130,clear,
2024-09-27,Friday,166,cloudy,
2024-09-28,Saturday,131,snow,
2024-09-29,Sunday,133,cloudy,
2024-09-30,Monday,82,cloudy,
2024-10-01,Tuesday,74,rain,
2024-10-02,Wednesday,95,hot,
2024-10-03,Thursday,125,clear,
2024-10-04,Friday,186,clear,
2024-10-05,Saturday,205,clear,
2024-10-06,Sunday,141,cloudy,
2024-10-07,Monday,67,cloudy,
2024-10-08,Tuesday,89,cloudy,
2024-10-09,Wednesday,115,clear,
2024-10-10,Thursday,115,hot,
2024-10-11,Friday,197,clear,
2024-10-12,Saturday,186,cloudy,
2024-10-13,Sunday,155,cloudy,
2024-10-14,Monday,51,snow,
2024-10-15,Tuesday,94,clear,
2024-10-16,Wednesday,95,hot,
2024-10-17,Thursday,130,clear,
2024-10-18,Friday,179,clear,
2024-10-19,Saturday,185,clear,
2024-10-20,Sunday,150,clear,
2024-10-21,Monday,77,clear,
2024-10-22,Tuesday,60,snow,
2024-10-23,Wednesday,113,clear,
2024-10-24,Thursday,117,cloudy,
2024-10-25,Friday,133,rain,
2024-10-26,Saturday,221,hot,
2024-10-27,Sunday,172,cloudy,
2024-10-28,Monday,66,hot,
2024-10-29,Tuesday,87,hot,
2024-10-30,Wednesday,100,cloudy,
2024-10-31,Thursday,138,clear,
2024-11-01,Friday,162,cloudy,
2024-11-02,Saturday,192,hot,
2024-11-03,Sunday,146,clear,
2024-11-04,Monday,75,clear,
2024-11-05,Tuesday,89,clear,
2024-11-06,Wednesday,116,clear,
2024-11-07,Thursday,99,hot,
2024-11-08,Friday,193,clear,
2024-11-09,Saturday,185,clear,
2024-11-10,Sunday,135,cloudy,
2024-11-11,Monday,77,clear,
2024-11-12,Tuesday,90,clear,
2024-11-13,Wednesday,96,cloudy,
2024-11-14,Thursday,120,clear,
2024-11-15,Friday,172,cloudy,
2024-11-16,Saturday,222,clear,
2024-11-17,Sunday,125,clear,
2024-11-18,Monday,78,cloudy,
2024-11-19,Tuesday,89,clear,
2024-11-20,Wednesday,99,clear,
2024-11-21,Thursday,118,clear,
2024-11-22,Friday,178,clear,
2024-11-23,Saturday,143,rain,
2024-11-24,Sunday,119,rain,
2024-11-25,Monday,78,clear,
2024-11-26,Tuesday,88,clear,
2024-11-27,Wednesday,112,clear,
2024-11-28,Thursday,62,clear,Thanksgiving
2024-11-29,Friday,158,rain,
2024-11-30,Saturday,224,clear,
2024-12-01,Sunday,152,clear,
2024-12-02,Monday,78,clear,
2024-12-03,Tuesday,89,hot,
2024-12-04,Wednesday,83,rain,
2024-12-05,Thursday,136,clear,
2024-12-06,Friday,177,clear,
2024-12-07,Saturday,236,clear,
2024-12-08,Sunday,156,clear,
2024-12-09,Monday,80,cloudy,
2024-12-10,Tuesday,91,clear,
2024-12-11,Wednesday,106,clear,
2024-12-12,Thursday,113,hot,
2024-12-13,Friday,160,cloudy,
2024-12-14,Saturday,225,clear,
2024-12-15,Sunday,164,clear,
2024-12-16,Monday,93,clear,
2024-12-17,Tuesday,76,rain,
2024-12-18,Wednesday,72,snow,
2024-12-19,Thursday,131,hot,
2024-12-20,Friday,202,clear,
2024-12-21,Saturday,223,cloudy,
2024-12-22,Sunday,120,rain,
2024-12-23,Monday,80,clear,
2024-12-24,Tuesday,131,clear,Christmas Eve
2024-12-25,Wednesday,11,snow,Christmas Day
2024-12-26,Thursday,85,snow,
2024-12-27,Friday,203,clear,
2024-12-28,Saturday,163,rain,
2024-12-29,Sunday,121,rain,
2024-12-30,Monday,79,clear,
2024-12-31,Tuesday,112,snow,New Year's Eve
2025-01-01,Wednesday,75,clear,
2025-01-02,Thursday,94,hot,
2025-01-03,Friday,94,snow,
2025-01-04,Saturday,130,hot,
2025-01-05,Sunday,103,clear,
2025-01-06,Monday,63,clear,
2025-01-07,Tuesday,73,clear,
2025-01-08,Wednesday,88,clear,
2025-01-09,Thursday,93,clear,
2025-01-10,Friday,145,clear,
2025-01-11,Saturday,189,clear,
2025-01-12,Sunday,80,hot,
2025-01-13,Monday,59,cloudy,
2025-01-14,Tuesday,43,snow,
2025-01-15,Wednesday,79,clear,
2025-01-16,Thursday,60,snow,
2025-01-17,Friday,154,clear,
2025-01-18,Saturday,158,clear,
2025-01-19,Sunday,96,cloudy,
2025-01-20,Monday,54,clear,
2025-01-21,Tuesday,66,cloudy,
2025-01-22,Wednesday,52,snow,
2025-01-23,Thursday,62,snow,
2025-01-24,Friday,132,clear,
2025-01-25,Saturday,119,snow,
2025-01-26,Sunday,131,cloudy,
2025-01-27,Monday,68,cloudy,
2025-01-28,Tuesday,69,clear,
2025-01-29,Wednesday,53,snow,
2025-01-30,Thursday,105,cloudy,
2025-01-31,Friday,140,clear,
2025-02-01,Saturday,162,rain,
2025-02-02,Sunday,120,cloudy,
2025-02-03,Monday,73,clear,
2025-02-04,Tuesday,75,rain,
2025-02-05,Wednesday,72,rain,
2025-02-06,Thursday,102,cloudy,
2025-02-07,Friday,157,clear,
2025-02-08,Saturday,161,cloudy,
2025-02-09,Sunday,85,snow,
2025-02-10,Monday,59,clear,
2025-02-11,Tuesday,75,cloudy,
2025-02-12,Wednesday,87,clear,
2025-02-13,Thursday,92,cloudy,
2025-02-14,Friday,313,hot,Valentine's Day
2025-02-15,Saturday,178,clear,
2025-02-16,Sunday,115,cloudy,
2025-02-17,Monday,74,clear,
2025-02-18,Tuesday,75,cloudy,
2025-02-19,Wednesday,93,cloudy,
2025-02-20,Thursday,103,rain,
2025-02-21,Friday,161,cloudy,
2025-02-22,Saturday,139,rain,
2025-02-23,Sunday,123,clear,
2025-02-24,Monday,72,clear,
2025-02-25,Tuesday,88,clear,
2025-02-26,Wednesday,92,hot,
2025-02-27,Thursday,96,hot,
2025-02-28,Friday,141,clear,
2025-03-01,Saturday,185,cloudy,
2025-03-02,Sunday,134,cloudy,
2025-03-03,Monday,67,hot,
2025-03-04,Tuesday,74,rain,
2025-03-05,Wednesday,102,cloudy,
2025-03-06,Thursday,117,clear,
2025-03-07,Friday,201,clear,
2025-03-08,Saturday,166,hot,
2025-03-09,Sunday,115,rain,
2025-03-10,Monday,45,snow,
2025-03-11,Tuesday,88,clear,
2025-03-12,Wednesday,100,clear,
2025-03-13,Thursday,108,clear,
2025-03-14,Friday,101,snow,
2025-03-15,Saturday,167,clear,
2025-03-16,Sunday,130,clear,
2025-03-17,Monday,89,cloudy,St. Patrick's Day
2025-03-18,Tuesday,70,hot,
2025-03-19,Wednesday,93,cloudy,
2025-03-20,Thursday,99,clear,
2025-03-21,Friday,130,snow,
2025-03-22,Saturday,169,cloudy,
2025-03-23,Sunday,72,snow,
2025-03-24,Monday,80,clear,
2025-03-25,Tuesday,91,clear,
2025-03-26,Wednesday,104,clear,
2025-03-27,Thursday,115,cloudy,
2025-03-28,Friday,171,cloudy,
2025-03-29,Saturday,106,snow,
2025-03-30,Sunday,134,clear,
2025-03-31,Monday,73,clear,
2025-04-01,Tuesday,81,clear,
2025-04-02,Wednesday,114,clear,
2025-04-03,Thursday,116,clear,
2025-04-04,Friday,182,clear,
2025-04-05,Saturday,176,rain,
2025-04-06,Sunday,95,snow,
2025-04-07,Monday,79,clear,
2025-04-08,Tuesday,89,cloudy,
2025-04-09,Wednesday,111,clear,
2025-04-10,Thursday,87,rain,
2025-04-11,Friday,130,rain,
2025-04-12,Saturday,179,cloudy,
2025-04-13,Sunday,89,snow,
2025-04-14,Monday,74,clear,
2025-04-15,Tuesday,87,clear,
2025-04-16,Wednesday,65,snow,
2025-04-17,Thursday,119,clear,
2025-04-18,Friday,176,cloudy,
2025-04-19,Saturday,190,cloudy,
2025-04-20,Sunday,99,rain,
2025-04-21,Monday,84,clear,
2025-04-22,Tuesday,80,clear,
2025-04-23,Wednesday,112,clear,
2025-04-24,Thursday,103,rain,
2025-04-25,Friday,178,clear,
2025-04-26,Saturday,193,cloudy,
2025-04-27,Sunday,152,clear,
2025-04-28,Monday,44,snow,
2025-04-29,Tuesday,87,clear,
2025-04-30,Wednesday,88,hot,
