appointment_id,client_id,appointment_date,day_of_week,time_slot,service,booked_on,days_booked_ahead,outcome
A5045,C1107,2024-11-07,Thursday,4:30 PM,Balayage,2024-10-31,7,showed
A5046,C1008,2024-11-07,Thursday,6:00 PM,Highlights,2024-11-06,1,showed
A5047,C1146,2024-11-07,Thursday,1:30 PM,Blowout,2024-10-24,14,showed
A5048,C1168,2024-11-07,Thursday,4:30 PM,Balayage,2024-11-06,1,showed
A5049,C1120,2024-11-08,Friday,9:00 AM,Highlights,2024-11-06,2,showed
A5050,C1040,2024-11-08,Friday,6:00 PM,Highlights,2024-11-06,2,showed
A5051,C1144,2024-11-08,Friday,12:00 PM,Balayage,2024-11-01,7,showed
A5052,C1193,2024-11-08,Friday,6:00 PM,Color,2024-11-05,3,showed
A5053,C1040,2024-11-08,Friday,10:30 AM,Haircut,2024-11-01,7,showed
A5054,C1103,2024-11-08,Friday,9:00 AM,Color,2024-11-01,7,late-cancel
A5055,C1006,2024-11-08,Friday,12:00 PM,Balayage,2024-11-06,2,showed
A5056,C1178,2024-11-08,Friday,1:30 PM,Balayage,2024-11-07,1,no-show
A5057,C1003,2024-11-08,Friday,1:30 PM,Color,2024-11-05,3,showed
A5058,C1089,2024-11-08,Friday,12:00 PM,Color,2024-10-25,14,showed
A5059,C1072,2024-11-08,Friday,10:30 AM,Haircut,2024-11-01,7,showed
A5060,C1060,2024-11-09,Saturday,3:00 PM,Highlights,2024-11-02,7,showed
A5061,C1008,2024-11-09,Saturday,4:30 PM,Color,2024-11-07,2,no-show
A5062,C1139,2024-11-09,Saturday,9:00 AM,Blowout,2024-11-07,2,showed
A5063,C1198,2024-11-09,Saturday,1:30 PM,Color,2024-11-08,1,showed
A5064,C1034,2024-11-09,Saturday,12:00 PM,Haircut,2024-11-07,2,showed
A5065,C1106,2024-11-09,Saturday,12:00 PM,Blowout,2024-10-19,21,showed
A5066,C1027,2024-11-09,Saturday,1:30 PM,Balayage,2024-10-26,14,showed
A5067,C1028,2024-11-09,Saturday,6:00 PM,Blowout,2024-11-02,7,showed
A5068,C1068,2024-11-09,Saturday,12:00 PM,Blowout,2024-11-08,1,showed
A5069,C1113,2024-11-09,Saturday,4:30 PM,Balayage,2024-11-07,2,showed
A5070,C1017,2024-11-09,Saturday,12:00 PM,Blowout,2024-11-07,2,no-show
A5071,C1150,2024-11-09,Saturday,12:00 PM,Balayage,2024-10-26,14,showed
A5072,C1183,2024-11-09,Saturday,3:00 PM,Color,2024-11-07,2,showed
A5073,C1161,2024-11-11,Monday,3:00 PM,Haircut,2024-11-09,2,showed
A5074,C1022,2024-11-11,Monday,9:00 AM,Haircut,2024-11-10,1,showed
A5075,C1011,2024-11-11,Monday,12:00 PM,Blowout,2024-11-09,2,showed
A5076,C1158,2024-11-11,Monday,9:00 AM,Balayage,2024-11-10,1,showed
A5077,C1125,2024-11-12,Tuesday,9:00 AM,Color,2024-11-10,2,showed
A5078,C1151,2024-11-12,Tuesday,3:00 PM,Highlights,2024-10-13,30,showed
A5079,C1082,2024-11-12,Tuesday,6:00 PM,Haircut,2024-11-05,7,showed
A5080,C1037,2024-11-12,Tuesday,1:30 PM,Highlights,2024-10-22,21,showed
A5081,C1047,2024-11-12,Tuesday,12:00 PM,Highlights,2024-11-10,2,showed
A5082,C1046,2024-11-13,Wednesday,12:00 PM,Highlights,2024-11-10,3,showed
A5083,C1050,2024-11-13,Wednesday,4:30 PM,Haircut,2024-10-23,21,showed
A5084,C1052,2024-11-13,Wednesday,12:00 PM,Highlights,2024-10-14,30,showed
A5085,C1005,2024-11-13,Wednesday,6:00 PM,Blowout,2024-11-10,3,showed
A5086,C1085,2024-11-13,Wednesday,1:30 PM,Haircut,2024-11-12,1,late-cancel
A5087,C1096,2024-11-13,Wednesday,1:30 PM,Blowout,2024-11-06,7,showed
A5088,C1197,2024-11-13,Wednesday,10:30 AM,Balayage,2024-10-30,14,showed
A5089,C1047,2024-11-14,Thursday,4:30 PM,Color,2024-11-11,3,showed
A5090,C1190,2024-11-14,Thursday,10:30 AM,Highlights,2024-11-11,3,showed
A5091,C1122,2024-11-14,Thursday,10:30 AM,Color,2024-11-11,3,showed
A5092,C1005,2024-11-14,Thursday,1:30 PM,Highlights,2024-11-11,3,showed
A5093,C1155,2024-11-14,Thursday,4:30 PM,Highlights,2024-11-13,1,no-show
A5094,C1041,2024-11-14,Thursday,12:00 PM,Haircut,2024-11-12,2,showed
A5095,C1197,2024-11-14,Thursday,9:00 AM,Color,2024-11-11,3,showed
A5096,C1171,2024-11-14,Thursday,1:30 PM,Color,2024-11-07,7,showed
A5097,C1185,2024-11-15,Friday,4:30 PM,Balayage,2024-11-01,14,showed
A5098,C1076,2024-11-15,Friday,10:30 AM,Haircut,2024-11-08,7,showed
A5099,C1170,2024-11-15,Friday,3:00 PM,Haircut,2024-11-13,2,showed
A5100,C1025,2024-11-15,Friday,4:30 PM,Haircut,2024-11-13,2,showed
A5101,C1011,2024-11-15,Friday,3:00 PM,Blowout,2024-11-14,1,showed
A5102,C1041,2024-11-15,Friday,4:30 PM,Haircut,2024-11-14,1,showed
A5103,C1045,2024-11-15,Friday,12:00 PM,Highlights,2024-11-01,14,showed
A5104,C1029,2024-11-15,Friday,3:00 PM,Color,2024-11-08,7,showed
A5105,C1138,2024-11-15,Friday,1:30 PM,Highlights,2024-11-12,3,showed
A5106,C1150,2024-11-15,Friday,12:00 PM,Highlights,2024-11-14,1,showed
A5107,C1080,2024-11-15,Friday,6:00 PM,Color,2024-10-16,30,showed
A5108,C1011,2024-11-16,Saturday,10:30 AM,Blowout,2024-11-02,14,showed
A5109,C1128,2024-11-16,Saturday,3:00 PM,Balayage,2024-11-13,3,showed
A5110,C1084,2024-11-16,Saturday,1:30 PM,Balayage,2024-11-02,14,showed
A5111,C1192,2024-11-16,Saturday,4:30 PM,Haircut,2024-11-13,3,showed
A5112,C1056,2024-11-16,Saturday,10:30 AM,Haircut,2024-11-14,2,showed
A5113,C1112,2024-11-16,Saturday,10:30 AM,Haircut,2024-11-02,14,late-cancel
A5114,C1177,2024-11-16,Saturday,12:00 PM,Color,2024-11-15,1,showed
A5115,C1029,2024-11-16,Saturday,1:30 PM,Blowout,2024-11-14,2,showed
A5116,C1180,2024-11-16,Saturday,9:00 AM,Balayage,2024-11-02,14,showed
A5117,C1195,2024-11-16,Saturday,3:00 PM,Blowout,2024-11-13,3,showed
A5118,C1177,2024-11-16,Saturday,4:30 PM,Color,2024-11-09,7,showed
A5119,C1189,2024-11-16,Saturday,9:00 AM,Color,2024-11-09,7,showed
A5120,C1006,2024-11-16,Saturday,4:30 PM,Color,2024-11-09,7,showed
A5121,C1090,2024-11-18,Monday,4:30 PM,Color,2024-10-28,21,showed
A5122,C1102,2024-11-18,Monday,9:00 AM,Haircut,2024-11-16,2,showed
A5123,C1046,2024-11-18,Monday,3:00 PM,Color,2024-11-16,2,late-cancel
A5124,C1091,2024-11-18,Monday,10:30 AM,Balayage,2024-11-11,7,showed
A5125,C1169,2024-11-19,Tuesday,6:00 PM,Blowout,2024-11-05,14,showed
A5126,C1137,2024-11-19,Tuesday,10:30 AM,Balayage,2024-11-12,7,showed
A5127,C1059,2024-11-19,Tuesday,3:00 PM,Color,2024-11-17,2,showed
A5128,C1099,2024-11-19,Tuesday,10:30 AM,Color,2024-11-12,7,showed
A5129,C1192,2024-11-19,Tuesday,12:00 PM,Haircut,2024-11-18,1,showed
A5130,C1193,2024-11-20,Wednesday,1:30 PM,Color,2024-11-06,14,showed
A5131,C1112,2024-11-20,Wednesday,6:00 PM,Haircut,2024-11-13,7,no-show
A5132,C1020,2024-11-20,Wednesday,4:30 PM,Blowout,2024-11-18,2,showed
A5133,C1058,2024-11-20,Wednesday,10:30 AM,Haircut,2024-11-13,7,showed
A5134,C1188,2024-11-20,Wednesday,12:00 PM,Color,2024-10-21,30,showed
A5135,C1017,2024-11-20,Wednesday,12:00 PM,Haircut,2024-11-13,7,showed
A5136,C1127,2024-11-20,Wednesday,4:30 PM,Haircut,2024-11-17,3,showed
A5137,C1095,2024-11-21,Thursday,10:30 AM,Haircut,2024-11-07,14,showed
A5138,C1134,2024-11-21,Thursday,4:30 PM,Highlights,2024-11-20,1,showed
A5139,C1033,2024-11-21,Thursday,1:30 PM,Balayage,2024-11-18,3,showed
A5140,C1178,2024-11-21,Thursday,3:00 PM,Balayage,2024-11-20,1,no-show
A5141,C1137,2024-11-21,Thursday,3:00 PM,Highlights,2024-11-14,7,no-show
A5142,C1128,2024-11-21,Thursday,4:30 PM,Haircut,2024-11-19,2,showed
A5143,C1039,2024-11-21,Thursday,1:30 PM,Highlights,2024-11-14,7,showed
A5144,C1137,2024-11-21,Thursday,10:30 AM,Blowout,2024-11-18,3,showed
A5145,C1025,2024-11-22,Friday,1:30 PM,Color,2024-11-21,1,showed
A5146,C1145,2024-11-22,Friday,10:30 AM,Highlights,2024-11-08,14,showed
A5147,C1172,2024-11-22,Friday,4:30 PM,Haircut,2024-11-19,3,showed
A5148,C1035,2024-11-22,Friday,3:00 PM,Haircut,2024-11-15,7,showed
A5149,C1037,2024-11-22,Friday,1:30 PM,Balayage,2024-11-08,14,showed
A5150,C1017,2024-11-22,Friday,3:00 PM,Blowout,2024-11-08,14,late-cancel
A5151,C1001,2024-11-22,Friday,3:00 PM,Balayage,2024-11-15,7,showed
A5152,C1066,2024-11-22,Friday,4:30 PM,Blowout,2024-11-15,7,showed
A5153,C1071,2024-11-22,Friday,3:00 PM,Color,2024-11-21,1,showed
A5154,C1078,2024-11-22,Friday,1:30 PM,Color,2024-11-21,1,showed
A5155,C1162,2024-11-22,Friday,1:30 PM,Blowout,2024-11-19,3,showed
A5156,C1098,2024-11-23,Saturday,3:00 PM,Blowout,2024-11-21,2,no-show
A5157,C1075,2024-11-23,Saturday,6:00 PM,Blowout,2024-11-20,3,showed
A5158,C1101,2024-11-23,Saturday,12:00 PM,Color,2024-11-09,14,showed
A5159,C1009,2024-11-23,Saturday,10:30 AM,Balayage,2024-11-21,2,no-show
A5160,C1103,2024-11-23,Saturday,3:00 PM,Haircut,2024-11-21,2,no-show
A5161,C1140,2024-11-23,Saturday,3:00 PM,Highlights,2024-11-21,2,showed
A5162,C1057,2024-11-23,Saturday,3:00 PM,Blowout,2024-11-22,1,showed
A5163,C1011,2024-11-23,Saturday,12:00 PM,Blowout,2024-11-20,3,showed
A5164,C1189,2024-11-23,Saturday,6:00 PM,Haircut,2024-11-20,3,showed
A5165,C1061,2024-11-23,Saturday,1:30 PM,Highlights,2024-11-22,1,showed
A5166,C1055,2024-11-23,Saturday,12:00 PM,Balayage,2024-11-22,1,showed
A5167,C1152,2024-11-23,Saturday,6:00 PM,Blowout,2024-11-09,14,showed
A5168,C1092,2024-11-23,Saturday,9:00 AM,Blowout,2024-11-20,3,showed
A5169,C1113,2024-11-25,Monday,4:30 PM,Highlights,2024-10-26,30,showed
A5170,C1129,2024-11-25,Monday,4:30 PM,Haircut,2024-11-11,14,showed
A5171,C1042,2024-11-25,Monday,4:30 PM,Haircut,2024-11-22,3,no-show
A5172,C1162,2024-11-25,Monday,1:30 PM,Highlights,2024-11-11,14,showed
A5173,C1060,2024-11-26,Tuesday,12:00 PM,Highlights,2024-11-24,2,showed
A5174,C1154,2024-11-26,Tuesday,9:00 AM,Balayage,2024-11-19,7,showed
A5175,C1109,2024-11-26,Tuesday,1:30 PM,Highlights,2024-11-19,7,showed
A5176,C1097,2024-11-26,Tuesday,6:00 PM,Color,2024-11-25,1,showed
A5177,C1157,2024-11-26,Tuesday,6:00 PM,Balayage,2024-11-19,7,showed
A5178,C1197,2024-11-27,Wednesday,6:00 PM,Color,2024-11-25,2,late-cancel
A5179,C1061,2024-11-27,Wednesday,4:30 PM,Highlights,2024-11-25,2,late-cancel
A5180,C1128,2024-11-27,Wednesday,1:30 PM,Highlights,2024-11-24,3,showed
A5181,C1084,2024-11-27,Wednesday,10:30 AM,Blowout,2024-11-24,3,showed
A5182,C1060,2024-11-27,Wednesday,12:00 PM,Haircut,2024-11-20,7,showed
A5183,C1036,2024-11-27,Wednesday,4:30 PM,Highlights,2024-11-25,2,showed
A5184,C1153,2024-11-27,Wednesday,4:30 PM,Color,2024-11-26,1,showed
A5185,C1024,2024-11-28,Thursday,9:00 AM,Balayage,2024-11-07,21,no-show
A5186,C1200,2024-11-28,Thursday,4:30 PM,Balayage,2024-11-21,7,showed
A5187,C1070,2024-11-28,Thursday,3:00 PM,Color,2024-11-21,7,showed
A5188,C1183,2024-11-28,Thursday,3:00 PM,Highlights,2024-11-21,7,showed
A5189,C1079,2024-11-28,Thursday,6:00 PM,Highlights,2024-11-26,2,showed
A5190,C1026,2024-11-28,Thursday,3:00 PM,Highlights,2024-11-25,3,showed
A5191,C1115,2024-11-28,Thursday,12:00 PM,Haircut,2024-11-27,1,showed
A5192,C1093,2024-11-28,Thursday,9:00 AM,Highlights,2024-11-25,3,showed
A5193,C1121,2024-11-29,Friday,12:00 PM,Color,2024-11-27,2,showed
A5194,C1113,2024-11-29,Friday,4:30 PM,Highlights,2024-11-15,14,showed
A5195,C1119,2024-11-29,Friday,3:00 PM,Highlights,2024-11-28,1,showed
A5196,C1118,2024-11-29,Friday,12:00 PM,Blowout,2024-11-27,2,showed
A5197,C1126,2024-11-29,Friday,9:00 AM,Color,2024-11-22,7,showed
A5198,C1108,2024-11-29,Friday,6:00 PM,Haircut,2024-11-28,1,showed
A5199,C1165,2024-11-29,Friday,3:00 PM,Color,2024-11-22,7,late-cancel
A5200,C1122,2024-11-29,Friday,10:30 AM,Blowout,2024-11-22,7,no-show
A5201,C1045,2024-11-29,Friday,1:30 PM,Color,2024-11-26,3,no-show
A5202,C1143,2024-11-29,Friday,12:00 PM,Haircut,2024-11-26,3,showed
A5203,C1178,2024-11-29,Friday,12:00 PM,Color,2024-11-26,3,showed
A5204,C1124,2024-11-30,Saturday,6:00 PM,Blowout,2024-11-16,14,showed
A5205,C1028,2024-11-30,Saturday,4:30 PM,Balayage,2024-11-27,3,showed
A5206,C1098,2024-11-30,Saturday,4:30 PM,Balayage,2024-11-27,3,showed
A5207,C1042,2024-11-30,Saturday,1:30 PM,Blowout,2024-11-23,7,showed
A5208,C1058,2024-11-30,Saturday,1:30 PM,Color,2024-11-28,2,showed
A5209,C1097,2024-11-30,Saturday,1:30 PM,Highlights,2024-11-23,7,showed
A5210,C1157,2024-11-30,Saturday,3:00 PM,Haircut,2024-11-23,7,showed
A5211,C1137,2024-11-30,Saturday,12:00 PM,Balayage,2024-11-23,7,no-show
A5212,C1005,2024-11-30,Saturday,10:30 AM,Highlights,2024-11-23,7,showed
A5213,C1139,2024-11-30,Saturday,4:30 PM,Blowout,2024-11-23,7,showed
A5214,C1167,2024-11-30,Saturday,12:00 PM,Blowout,2024-11-28,2,showed
A5215,C1193,2024-11-30,Saturday,6:00 PM,Blowout,2024-11-09,21,showed
A5216,C1113,2024-11-30,Saturday,12:00 PM,Balayage,2024-11-28,2,showed
A5217,C1090,2024-12-02,Monday,10:30 AM,Blowout,2024-11-18,14,showed
A5218,C1014,2024-12-02,Monday,9:00 AM,Balayage,2024-11-30,2,showed
A5219,C1138,2024-12-02,Monday,4:30 PM,Haircut,2024-11-25,7,showed
A5220,C1139,2024-12-02,Monday,3:00 PM,Balayage,2024-11-30,2,showed
A5221,C1085,2024-12-03,Tuesday,3:00 PM,Highlights,2024-11-19,14,showed
A5222,C1085,2024-12-03,Tuesday,6:00 PM,Highlights,2024-11-19,14,showed
A5223,C1128,2024-12-03,Tuesday,10:30 AM,Blowout,2024-11-19,14,showed
A5224,C1027,2024-12-03,Tuesday,4:30 PM,Color,2024-12-02,1,showed
A5225,C1129,2024-12-03,Tuesday,1:30 PM,Blowout,2024-11-30,3,showed
A5226,C1063,2024-12-04,Wednesday,1:30 PM,Blowout,2024-11-27,7,showed
A5227,C1087,2024-12-04,Wednesday,6:00 PM,Haircut,2024-11-27,7,showed
A5228,C1185,2024-12-04,Wednesday,6:00 PM,Color,2024-11-27,7,showed
A5229,C1148,2024-12-04,Wednesday,12:00 PM,Color,2024-12-03,1,no-show
A5230,C1109,2024-12-04,Wednesday,3:00 PM,Color,2024-11-13,21,showed
A5231,C1023,2024-12-04,Wednesday,4:30 PM,Highlights,2024-11-27,7,showed
A5232,C1006,2024-12-04,Wednesday,1:30 PM,Haircut,2024-11-20,14,showed
A5233,C1050,2024-12-05,Thursday,1:30 PM,Haircut,2024-12-04,1,showed
A5234,C1148,2024-12-05,Thursday,3:00 PM,Haircut,2024-12-03,2,no-show
A5235,C1137,2024-12-05,Thursday,3:00 PM,Balayage,2024-12-04,1,no-show
A5236,C1166,2024-12-05,Thursday,12:00 PM,Haircut,2024-11-21,14,showed
A5237,C1147,2024-12-05,Thursday,3:00 PM,Highlights,2024-12-04,1,showed
A5238,C1129,2024-12-05,Thursday,9:00 AM,Highlights,2024-11-28,7,showed
A5239,C1077,2024-12-05,Thursday,1:30 PM,Color,2024-12-03,2,showed
A5240,C1179,2024-12-05,Thursday,3:00 PM,Balayage,2024-11-21,14,no-show
A5241,C1194,2024-12-06,Friday,1:30 PM,Haircut,2024-12-03,3,showed
A5242,C1185,2024-12-06,Friday,3:00 PM,Color,2024-11-29,7,showed
A5243,C1159,2024-12-06,Friday,9:00 AM,Highlights,2024-12-05,1,showed
A5244,C1193,2024-12-06,Friday,1:30 PM,Haircut,2024-11-22,14,showed
A5245,C1116,2024-12-06,Friday,9:00 AM,Highlights,2024-11-29,7,showed
A5246,C1062,2024-12-06,Friday,3:00 PM,Color,2024-11-29,7,showed
A5247,C1030,2024-12-06,Friday,12:00 PM,Color,2024-12-05,1,no-show
A5248,C1174,2024-12-06,Friday,4:30 PM,Color,2024-11-29,7,showed
A5249,C1121,2024-12-06,Friday,1:30 PM,Haircut,2024-12-03,3,showed
A5250,C1108,2024-12-06,Friday,4:30 PM,Balayage,2024-11-06,30,showed
A5251,C1064,2024-12-06,Friday,3:00 PM,Haircut,2024-12-04,2,showed
A5252,C1018,2024-12-07,Saturday,4:30 PM,Balayage,2024-11-23,14,showed
A5253,C1160,2024-12-07,Saturday,1:30 PM,Highlights,2024-11-07,30,showed
A5254,C1138,2024-12-07,Saturday,4:30 PM,Highlights,2024-11-23,14,showed
A5255,C1096,2024-12-07,Saturday,9:00 AM,Color,2024-11-16,21,showed
A5256,C1035,2024-12-07,Saturday,10:30 AM,Haircut,2024-12-04,3,showed
A5257,C1054,2024-12-07,Saturday,6:00 PM,Blowout,2024-12-04,3,showed
A5258,C1067,2024-12-07,Saturday,1:30 PM,Haircut,2024-11-30,7,showed
A5259,C1152,2024-12-07,Saturday,10:30 AM,Haircut,2024-12-04,3,showed
A5260,C1012,2024-12-07,Saturday,1:30 PM,Highlights,2024-12-04,3,showed
A5261,C1169,2024-12-07,Saturday,4:30 PM,Haircut,2024-11-23,14,showed
A5262,C1138,2024-12-07,Saturday,12:00 PM,Blowout,2024-11-23,14,showed
A5263,C1082,2024-12-07,Saturday,12:00 PM,Haircut,2024-11-23,14,showed
A5264,C1197,2024-12-07,Saturday,4:30 PM,Balayage,2024-12-04,3,showed
A5265,C1117,2024-12-09,Monday,10:30 AM,Haircut,2024-12-07,2,showed
A5266,C1142,2024-12-09,Monday,9:00 AM,Haircut,2024-11-18,21,showed
A5267,C1070,2024-12-09,Monday,6:00 PM,Haircut,2024-11-25,14,showed
A5268,C1152,2024-12-09,Monday,3:00 PM,Haircut,2024-12-02,7,showed
A5269,C1121,2024-12-10,Tuesday,4:30 PM,Highlights,2024-12-07,3,showed
A5270,C1060,2024-12-10,Tuesday,12:00 PM,Balayage,2024-12-08,2,showed
A5271,C1025,2024-12-10,Tuesday,9:00 AM,Blowout,2024-12-08,2,no-show
A5272,C1029,2024-12-10,Tuesday,12:00 PM,Color,2024-11-19,21,showed
A5273,C1108,2024-12-10,Tuesday,10:30 AM,Blowout,2024-11-19,21,no-show
A5274,C1035,2024-12-11,Wednesday,6:00 PM,Color,2024-12-08,3,showed
A5275,C1018,2024-12-11,Wednesday,10:30 AM,Color,2024-12-04,7,showed
A5276,C1186,2024-12-11,Wednesday,1:30 PM,Balayage,2024-12-04,7,no-show
A5277,C1069,2024-12-11,Wednesday,9:00 AM,Haircut,2024-11-27,14,showed
A5278,C1177,2024-12-11,Wednesday,4:30 PM,Highlights,2024-12-04,7,showed
A5279,C1070,2024-12-11,Wednesday,6:00 PM,Color,2024-12-08,3,showed
A5280,C1016,2024-12-11,Wednesday,4:30 PM,Blowout,2024-12-04,7,showed
A5281,C1037,2024-12-12,Thursday,12:00 PM,Blowout,2024-12-11,1,late-cancel
A5282,C1187,2024-12-12,Thursday,1:30 PM,Color,2024-12-05,7,showed
A5283,C1148,2024-12-12,Thursday,10:30 AM,Color,2024-12-09,3,showed
A5284,C1077,2024-12-12,Thursday,10:30 AM,Highlights,2024-11-28,14,no-show
A5285,C1178,2024-12-12,Thursday,10:30 AM,Color,2024-12-05,7,showed
A5286,C1160,2024-12-12,Thursday,10:30 AM,Highlights,2024-12-11,1,no-show
A5287,C1111,2024-12-12,Thursday,1:30 PM,Color,2024-12-11,1,no-show
A5288,C1004,2024-12-12,Thursday,1:30 PM,Balayage,2024-12-11,1,showed
A5289,C1039,2024-12-13,Friday,9:00 AM,Blowout,2024-11-29,14,showed
A5290,C1101,2024-12-13,Friday,1:30 PM,Color,2024-11-29,14,showed
A5291,C1105,2024-12-13,Friday,3:00 PM,Haircut,2024-11-22,21,no-show
A5292,C1120,2024-12-13,Friday,12:00 PM,Haircut,2024-12-10,3,no-show
A5293,C1127,2024-12-13,Friday,12:00 PM,Blowout,2024-12-11,2,late-cancel
A5294,C1119,2024-12-13,Friday,1:30 PM,Haircut,2024-12-11,2,showed
A5295,C1168,2024-12-13,Friday,10:30 AM,Haircut,2024-12-10,3,showed
A5296,C1098,2024-12-13,Friday,4:30 PM,Blowout,2024-12-06,7,showed
A5297,C1100,2024-12-13,Friday,10:30 AM,Haircut,2024-12-10,3,no-show
A5298,C1065,2024-12-13,Friday,4:30 PM,Highlights,2024-12-10,3,showed
A5299,C1127,2024-12-13,Friday,10:30 AM,Blowout,2024-12-12,1,showed
A5300,C1122,2024-12-14,Saturday,1:30 PM,Highlights,2024-11-30,14,no-show
A5301,C1105,2024-12-14,Saturday,10:30 AM,Color,2024-12-13,1,showed
A5302,C1034,2024-12-14,Saturday,10:30 AM,Haircut,2024-12-12,2,late-cancel
A5303,C1088,2024-12-14,Saturday,3:00 PM,Highlights,2024-12-12,2,showed
A5304,C1188,2024-12-14,Saturday,4:30 PM,Haircut,2024-11-23,21,showed
A5305,C1115,2024-12-14,Saturday,1:30 PM,Color,2024-11-30,14,late-cancel
A5306,C1173,2024-12-14,Saturday,4:30 PM,Highlights,2024-12-12,2,showed
A5307,C1034,2024-12-14,Saturday,9:00 AM,Balayage,2024-12-11,3,showed
A5308,C1143,2024-12-14,Saturday,4:30 PM,Color,2024-12-13,1,showed
A5309,C1178,2024-12-14,Saturday,3:00 PM,Highlights,2024-12-11,3,no-show
A5310,C1010,2024-12-14,Saturday,9:00 AM,Blowout,2024-12-13,1,showed
A5311,C1138,2024-12-14,Saturday,6:00 PM,Haircut,2024-12-07,7,showed
A5312,C1104,2024-12-14,Saturday,4:30 PM,Highlights,2024-11-14,30,showed
A5313,C1106,2024-12-16,Monday,3:00 PM,Balayage,2024-12-14,2,showed
A5314,C1132,2024-12-16,Monday,10:30 AM,Color,2024-12-09,7,showed
A5315,C1003,2024-12-16,Monday,12:00 PM,Highlights,2024-12-09,7,late-cancel
A5316,C1192,2024-12-16,Monday,6:00 PM,Blowout,2024-12-14,2,showed
A5317,C1029,2024-12-17,Tuesday,1:30 PM,Highlights,2024-12-10,7,showed
A5318,C1022,2024-12-17,Tuesday,9:00 AM,Haircut,2024-12-14,3,showed
